"﻿Product",Product type,Location,SFDC Produktkode / sti,License,On-prem maturity,Cloud Maturity,Owner,Champions,Dependencies,Property," 1"," 2"," 3"," 4"," 5"," 6",Markets,Location 1,Showstoppers,Suggested Solution,Comment,Market," 7"
EventLogViewer (EL) / EventExplorer (E2),Application,On-prem,,,,NA,ABB NO Digital,Thomas Skovholt,,,,,X,(X),,X,,,,,,,
AlarmAnalysis (AA),Application,On-prem,,,,NA,ABB NO Digital,Thomas Skovholt,,,,,X,(X),,X,,,,,,,
KPI Reports (KPI),Dashboard,Cloud,,,NA,,ABB NO Digital,Thomas Skovholt,EdgeInsight,,,,X,(X),,X,,,,,,,
Interface Insight,,,,,,,,,,,,,,,,,,,,,,,
OPC Connect Server,Application,On-prem,,,9,NA,ABB NO Digital,Erling Tyse,,,,,X,X,,X,,,Market material / documentation Code upgrade due to old framework,,,,
"OPC Connect Server, 800xA enabled",Application,On-prem,,,9,NA,ABB NO Digital,Erling Tyse,,,,,X,X,,X,,,Market material / documentation Code upgrade due to old framework,,,,
OPC UA Aggregating Server,Application,On-prem,,,9,NA,ABB NO Digital,Erling Tyse,,,,,X,X,,X,,,Market material / documentation,,,,
"Interface Handler DA ",Application,On-prem,,,9,NA,ABB NO Digital,Erling Tyse,,,,,X,X,,X,,,Market material / documentation Code upgrade due to old framework,,,,
Interface Handler UA,Application,On-prem,,,9,NA,ABB NO Digital,Erling Tyse,,,,,X,X,,X,,,Market material / documentation,,,,
Interface Handler -104,,,,,,,,,,,,,,,,,,,,,,,
Interface Handler AE,Application,On-prem,,,9,NA,ABB NO Digital,Erling Tyse,,,,,X,X,,X,,,Market material / documentation Code upgrade due to old framework,,,,
Interface Handler AE Compact,Application,On-prem,,,9,NA,ABB NO Digital,Erling Tyse,,,,,X,X,,X,,,Market material / documentation Code upgrade due to old framework,,,,
OPC UA Gateway,Application,On-prem,,,?,NA,ABB NO Digital,Erling Tyse,,,,,X,X,,X,,,Market material / documentation,,,,
"Valve Signature ",Application,On-prem / Cloud,,,?,?,ABB NO Digital,Erling Tyse,EdgeInsight (Cloud),,,,,,,,,,Market material / documentation,,,,
Process performance:  Kjetil + Jørgen,,,,,,,,,,,,,,,,,,,,,,,
"LoopInsight ",Application,Cloud,,,NA,7,ABB NO Digital,"Kjetil Skjønneberg, Jørgen Jensen",EdgeInsight,,,,X,,,X,,,,,Operational Plants,Continuous processes,
"LoopTune ",Application,Cloud,,,NA,,ABB NO Digital,"Kjetil Skjønneberg, Jørgen Jensen",EdgeInsight,,,,X,,,X,,,,,Operational Plants,Continuous processes,
"Monitoring Services to find opportunities ",Service,,,,NA,NA,ABB NO Digital,"Kjetil Skjønneberg, Jørgen Jensen",,,,,X,,,X,,,"None, sold in different shapes and sizes",,"Operational Plants: Control loop monitoring​, Alarm management​, Opportunity detection",Continuous processes,
"Improvement Services ",Service,,,,NA,NA,ABB NO Digital,"Kjetil Skjønneberg, Jørgen Jensen",,,,,X,,,X,,,"None, sold in different shapes and sizes",,"Operational Plants: Tuning of existing control solutions​, Re-design of control solutions​, Delivery of control solutions",Continuous processes,
"Process start-up services ",Service,,,,NA,NA,ABB NO Digital,"Kjetil Skjønneberg, Jørgen Jensen",,,,,X,X,,X,,,"None, sold in different shapes and sizes",,Greenfield or modification projects: Adapt process controls to real-world setting and supply re-design of process control when needed.,Continuous processes,
Process control design,Service,,,,NA,NA,ABB NO Digital,"Kjetil Skjønneberg, Jørgen Jensen",,,,,X,,,X,,,"None, sold in different shapes and sizes",,Greenfield or modification projects: Design process control using control solutions proven in operation,Continuous processes,
Compressor antisurge,Solution,On-prem,,,9,NA,ABB NO Digital,"Kjetil Skjønneberg, Jørgen Jensen",,,,,X,,,X,,,,,Greenfield and Brownfield,Continuous processes,
"Compressor load balancing ",Solution,On-prem,,,9,NA,ABB NO Digital,"Kjetil Skjønneberg, Jørgen Jensen",,,,,X,,,X,,,,,Greenfield and Brownfield,Continuous processes,
